height_x03_z00	3	0	-2048	-6144
height_x04_z00	4	0	-1024	-6144
height_x02_z01	2	1	-3072	-5120
height_x03_z01	3	1	-2048	-5120
height_x04_z01	4	1	-1024	-5120
height_x05_z01	5	1	0	-5120
height_x00_z02	0	2	-5120	-4096
height_x01_z02	1	2	-4096	-4096
height_x02_z02	2	2	-3072	-4096
height_x03_z02	3	2	-2048	-4096
height_x04_z02	4	2	-1024	-4096
height_x05_z02	5	2	0	-4096
height_x06_z02	6	2	1024	-4096
height_x00_z03	0	3	-5120	-3072
height_x01_z03	1	3	-4096	-3072
height_x02_z03	2	3	-3072	-3072
height_x03_z03	3	3	-2048	-3072
height_x04_z03	4	3	-1024	-3072
height_x05_z03	5	3	0	-3072
height_x06_z03	6	3	1024	-3072
height_x00_z04	0	4	-5120	-2048
height_x01_z04	1	4	-4096	-2048
height_x02_z04	2	4	-3072	-2048
height_x03_z04	3	4	-2048	-2048
height_x04_z04	4	4	-1024	-2048
height_x05_z04	5	4	0	-2048
height_x00_z05	0	5	-5120	-1024
height_x01_z05	1	5	-4096	-1024
height_x02_z05	2	5	-3072	-1024
height_x03_z05	3	5	-2048	-1024
height_x04_z05	4	5	-1024	-1024
height_x05_z05	5	5	0	-1024
height_x00_z06	0	6	-5120	0
height_x01_z06	1	6	-4096	0
height_x02_z06	2	6	-3072	0
height_x03_z06	3	6	-2048	0
height_x04_z06	4	6	-1024	0
height_x05_z06	5	6	0	0
height_x04_z07	4	7	-1024	1024
